gene,p-value,beta,method,CI,Lower,Upper
APOC1,3.681239218385064e-39,0.14937623242360554,2SLS,"[0.12564741616384037, 0.1731050486833707]",0.12564741616384037,0.1731050486833707
APOC1,2.3695241828197392e-24,0.11848765583636305,PT-2SLS,"[0.08364152976708597, 0.15333378190564012]",0.08364152976708597,0.15333378190564012
APOC1,3.552246002895201e-14,0.08820525368379281,2SIR,"[0.055285627243353286, 0.12112488012423234]",0.055285627243353286,0.12112488012423234
APOC1P1,5.461070473510453e-09,0.07767696828433508,2SLS,"[0.05132398243230736, 0.1040299541363628]",0.05132398243230736,0.1040299541363628
APOC1P1,2.0575785533649715e-08,0.07272818435160994,PT-2SLS,"[0.04186990400266065, 0.10358646470055922]",0.04186990400266065,0.10358646470055922
APOC1P1,6.114126692303338e-19,0.1095683144120267,2SIR,"[0.07618488855250283, 0.14295174027155058]",0.07618488855250283,0.14295174027155058
APOE,9.208362379590791e-40,0.19486252292389716,2SLS,"[0.16458188173837168, 0.22514316410942264]",0.16458188173837168,0.22514316410942264
APOE,2.1925061515405887e-39,0.19297204954293112,PT-2SLS,"[0.13612988310677776, 0.2498142159790845]",0.13612988310677776,0.2498142159790845
APOE,2.450387412767548e-31,0.16785731115409747,2SIR,"[0.12225292349470904, 0.2134616988134859]",0.12225292349470904,0.2134616988134859
BCAM,1.6108701517254618e-46,0.19561526529072643,2SLS,"[0.16648944288045334, 0.22474108770099951]",0.16648944288045334,0.22474108770099951
BCAM,1.1813598481849571e-48,0.20168541500530426,PT-2SLS,"[0.14725468143627501, 0.2561161485743335]",0.14725468143627501,0.2561161485743335
BCAM,1.4105522706062044e-34,0.1815310995848124,2SIR,"[0.1161503404865792, 0.2469118586830456]",0.1161503404865792,0.2469118586830456
BCL3,0.12488571976180651,0.024276493564503045,2SLS,"[-0.006821685666844806, 0.0553746727958509]",-0.006821685666844806,0.0553746727958509
BCL3,0.12847265891591014,0.023982741953406245,PT-2SLS,"[-0.007565739329947925, 0.055531223236760414]",-0.007565739329947925,0.055531223236760414
BCL3,4.693945710459346e-10,0.08411925887544446,2SIR,"[0.05272015766487588, 0.11551836008601303]",0.05272015766487588,0.11551836008601303
BIN1,3.151088195588445e-08,0.06864104676296566,2SLS,"[0.04409693395610796, 0.09318515956982336]",0.04409693395610796,0.09318515956982336
BIN1,2.1323244554721953e-08,0.06741203164731963,PT-2SLS,"[0.0385731072116548, 0.09625095608298445]",0.0385731072116548,0.09625095608298445
BIN1,5.3513049983537425e-09,0.06727560308274227,2SIR,"[0.04071509496564716, 0.0938361111998374]",0.04071509496564716,0.0938361111998374
CBLC,9.877114411651886e-06,0.06956518532003915,2SLS,"[0.03855072366358782, 0.10057964697649048]",0.03855072366358782,0.10057964697649048
CBLC,0.015543741283176293,0.03872549958700613,PT-2SLS,"[0.005680875172727112, 0.07177012400128514]",0.005680875172727112,0.07177012400128514
CBLC,9.262697240180563e-29,0.16197874024359904,2SIR,"[0.11730453931589854, 0.20665294117129954]",0.11730453931589854,0.20665294117129954
CEACAM19,0.12343440907194278,0.02251980803776081,2SLS,"[-0.006150248820031606, 0.05118986489555323]",-0.006150248820031606,0.05118986489555323
CEACAM19,0.12070649501200893,0.022803510736097894,PT-2SLS,"[-0.006687481178550732, 0.05229450265074652]",-0.006687481178550732,0.05229450265074652
CEACAM19,0.0007820466570302466,0.04976291781758657,2SIR,"[0.018174072346821307, 0.08135176328835184]",0.018174072346821307,0.08135176328835184
CHRNA2,0.0006027035398001333,0.043601548858522694,2SLS,"[0.018616523276915514, 0.06858657444012987]",0.018616523276915514,0.06858657444012987
CHRNA2,0.0005646502651432788,0.045384998986216375,PT-2SLS,"[0.01724105763944087, 0.07352894033299189]",0.01724105763944087,0.07352894033299189
CHRNA2,1.4433523383021931e-06,0.0740387584150921,2SIR,"[0.0359259879247941, 0.1121515289053901]",0.0359259879247941,0.1121515289053901
CLPTM1,3.8101447941084548e-06,0.054975886163655396,2SLS,"[0.03140577909406654, 0.07854599323324425]",0.03140577909406654,0.07854599323324425
CLPTM1,8.480707690558837e-06,0.05297357532878136,PT-2SLS,"[0.026734705983080424, 0.0792124446744823]",0.026734705983080424,0.0792124446744823
CLPTM1,0.00045852417736825336,0.04174190723719634,2SIR,"[0.016282517625169676, 0.067201296849223]",0.016282517625169676,0.067201296849223
CYP27C1,2.1866839918487667e-10,0.09125770158518999,2SLS,"[0.06286790290078004, 0.11964750026959994]",0.06286790290078004,0.11964750026959994
CYP27C1,2.0160010506815375e-10,0.0895127676315987,PT-2SLS,"[0.05360395022188759, 0.1254215850413098]",0.05360395022188759,0.1254215850413098
CYP27C1,0.0007049515821993006,0.05001419114536709,2SIR,"[0.01856548515625179, 0.0814628971344824]",0.01856548515625179,0.0814628971344824
HLA-DRB5,2.6921418873256496e-05,0.03834229966872662,2SLS,"[0.019592937271706672, 0.05709166206574656]",0.019592937271706672,0.05709166206574656
HLA-DRB5,3.86793407634384e-06,0.04236456552733004,PT-2SLS,"[0.020817311731750495, 0.06391181932290958]",0.020817311731750495,0.06391181932290958
HLA-DRB5,1.3633564224478632e-06,0.04630979006582614,2SIR,"[0.026944995761916196, 0.06567458436973608]",0.026944995761916196,0.06567458436973608
MS4A4A,2.0471275652251523e-07,0.06013767658834134,2SLS,"[0.03610556140804461, 0.08416979176863806]",0.03610556140804461,0.08416979176863806
MS4A4A,2.0654219624453361e-07,0.060364612114686765,PT-2SLS,"[0.033813305363122964, 0.08691591886625057]",0.033813305363122964,0.08691591886625057
MS4A4A,3.7846516008437326e-07,0.05692932469036273,2SIR,"[0.03002525043626148, 0.08383339894446398]",0.03002525043626148,0.08383339894446398
MS4A6A,4.692691194397607e-10,0.05976352492036807,2SLS,"[0.04085250400116548, 0.07867454583957066]",0.04085250400116548,0.07867454583957066
MS4A6A,3.2410743396672096e-10,0.06010329848923658,PT-2SLS,"[0.03822468596393662, 0.08198191101453654]",0.03822468596393662,0.08198191101453654
MS4A6A,2.369679728033955e-10,0.05801111610291794,2SIR,"[0.03314643014214243, 0.08287580206369345]",0.03314643014214243,0.08287580206369345
MTCH2,7.135087342819078e-07,0.08684529131689742,2SLS,"[0.052116813115044715, 0.12157376951875012]",0.052116813115044715,0.12157376951875012
MTCH2,7.378294430557735e-07,0.08692999168862284,PT-2SLS,"[0.044182717897684035, 0.12967726547956165]",0.044182717897684035,0.12967726547956165
MTCH2,3.5322848322186854e-06,0.07774729344286375,2SIR,"[0.03231652390880867, 0.12317806297691884]",0.03231652390880867,0.12317806297691884
NKPD1,0.14356988640197407,0.01861342988718478,2SLS,"[-0.006331943696168702, 0.04355880347053827]",-0.006331943696168702,0.04355880347053827
NKPD1,0.03135485780697689,0.027407396243117593,PT-2SLS,"[0.0016300870049601214, 0.05318470548127506]",0.0016300870049601214,0.05318470548127506
NKPD1,1.380149745165193e-06,0.059014835840012055,2SIR,"[0.032791363987164646, 0.08523830769285946]",0.032791363987164646,0.08523830769285946
TOMM40,0.4249122451171936,0.01250037729609529,2SLS,"[-0.01820970784865678, 0.043210462440847364]",-0.01820970784865678,0.043210462440847364
TOMM40,0.4196397427471765,0.012643346355276502,PT-2SLS,"[-0.01824102639274347, 0.043527719103296475]",-0.01824102639274347,0.043527719103296475
TOMM40,1.8035436305773444e-10,0.07672703507477437,2SIR,"[0.045586229325723336, 0.10786784082382539]",0.045586229325723336,0.10786784082382539
ZNF296,8.66894594730521e-06,0.05566606386782674,2SLS,"[0.030801012739524517, 0.08053111499612897]",0.030801012739524517,0.08053111499612897
ZNF296,1.4658691156102528e-06,0.05851682183666303,PT-2SLS,"[0.0315776539643721, 0.08545598970895396]",0.0315776539643721,0.08545598970895396
ZNF296,0.22696987119908751,0.013786825548973956,2SIR,"[0.0, 0.03693412646286277]",0.0,0.03693412646286277
