gene,p-value,beta,method,CI
TDRD10,0.3331426701879774,0.02507510232682937,2SLS,[-0.0258 0.0759]
TDRD10,0.27914307930095017,0.030303996727580457,PT-2SLS,[-0.0266 0.0872]
TDRD10,0.3578221524883911,0.022282376810757988,2SIR,[0.0000 0.0798]
C9,0.18596074610394325,0.020967913720182894,2SLS,[-0.0101 0.0521]
C9,0.17000162902077515,0.02217265445971121,PT-2SLS,[-0.0102 0.0545]
C9,0.08936093665988354,0.025598414333311163,2SIR,[0.0000 0.0720]
RGS20,0.9911841138927988,0.000149124236682651,2SLS,[-0.0263 0.0266]
RGS20,0.9350953071878871,0.0011192429286519744,PT-2SLS,[-0.0258 0.0280]
RGS20,0.860317541124014,0.00259622897934012,2SIR,[0.0000 0.0312]
AK2,0.21194861912576662,0.016608818394973954,2SLS,[-0.0095 0.0427]
AK2,0.21009524685262632,0.016869072988984553,PT-2SLS,[-0.0098 0.0436]
AK2,0.7796646195300945,0.0037809658611077748,2SIR,[0.0000 0.0303]
RASGRP4,0.8591957786698903,0.002953147302169689,2SLS,[-0.0297 0.0356]
RASGRP4,0.8263532543499168,0.003750346337048743,PT-2SLS,[-0.0298 0.0373]
RASGRP4,0.6136895346347457,0.008248786554557646,2SIR,[0.0000 0.0411]
TEDDM1,0.6375268183097056,0.009216277566523464,2SLS,[-0.0291 0.0476]
TEDDM1,0.7985064912340836,0.005162864301149524,PT-2SLS,[-0.0345 0.0448]
TEDDM1,0.9473939968861089,0.0011078674316928202,2SIR,[0.0000 0.0328]
MEAF6,0.9150565456927175,0.0012651032011827478,2SLS,[-0.0220 0.0245]
MEAF6,0.9065625543226217,0.0014563036040416372,PT-2SLS,[-0.0229 0.0258]
MEAF6,0.32465117056717,0.013707535480930158,2SIR,[0.0000 0.0470]
BTRC,0.7690760220761284,0.006327538318732488,2SLS,[-0.0359 0.0486]
BTRC,0.7810491610333969,0.005995523168889645,PT-2SLS,[-0.0363 0.0483]
BTRC,0.6948858703690839,0.01038984907272237,2SIR,[0.0000 0.0644]
IQCJ,0.3076292467633794,0.01932805947972121,2SLS,[-0.0178 0.0565]
IQCJ,0.3021019212777771,0.01943494944367075,PT-2SLS,[-0.0180 0.0568]
IQCJ,0.7489120824835989,0.005105395949817961,2SIR,[0.0000 0.0375]
RLF,0.8237754508133772,0.00385605769429593,2SLS,[-0.0301 0.0378]
RLF,0.6596526626235852,0.007310712774572737,PT-2SLS,[-0.0253 0.0399]
RLF,0.24377913686095898,0.028118527054193997,2SIR,[0.0000 0.0865]
