gene,p-value,beta,method,CI,Lower,Upper
CBLC,9.877114411651059e-06,0.0695651853200398,2SLS,"[0.038282173819639914, 0.10084819682043969]",0.038282173819639914,0.10084819682043969
CBLC,0.01554374693534165,0.038725497505755324,PT-2SLS,"[0.005679046952220872, 0.07177194805928977]",0.005679046952220872,0.07177194805928977
CBLC,9.262697240180033e-29,0.16197874024359932,2SIR,"[0.08976426594788309, 0.23419321453931555]",0.08976426594788309,0.23419321453931555
APOE,9.208362379589872e-40,0.19486252292389689,2SLS,"[0.16212022938615617, 0.2276048164616376]",0.16212022938615617,0.2276048164616376
APOE,2.192506151540651e-39,0.1929720495429307,PT-2SLS,"[0.1360183057097219, 0.24992579337613952]",0.1360183057097219,0.24992579337613952
APOE,2.450387412767477e-31,0.1678573111540977,2SIR,"[0.0906621764309859, 0.24505244587720948]",0.0906621764309859,0.24505244587720948
BCL3,0.1248857197618132,0.024276493564502566,2SLS,"[-0.006841362718329712, 0.055394349847334844]",-0.006841362718329712,0.055394349847334844
BCL3,0.12847265920083115,0.023982741930971274,PT-2SLS,"[-0.007565772970252967, 0.055531256832195515]",-0.007565772970252967,0.055531256832195515
BCL3,4.693945710459287e-10,0.08411925887544462,2SIR,"[0.041236128348143206, 0.12700238940274605]",0.041236128348143206,0.12700238940274605
CLPTM1,3.81014479410838e-06,0.0549758861636555,2SLS,"[0.031196283333536478, 0.07875548899377452]",0.031196283333536478,0.07875548899377452
CLPTM1,8.480714223287893e-06,0.05297357336823506,PT-2SLS,"[0.026466660150635098, 0.07948048658583504]",0.026466660150635098,0.07948048658583504
CLPTM1,0.0004585241773682484,0.041741907237196445,2SIR,"[0.013550557060521027, 0.06993325741387187]",0.013550557060521027,0.06993325741387187
HLA-DRB5,2.6921418873258658e-05,0.03834229966872615,2SLS,"[0.017832559091423297, 0.058852040246029]",0.017832559091423297,0.058852040246029
HLA-DRB5,3.867934076344198e-06,0.04236456552732954,PT-2SLS,"[0.02206519578024116, 0.06266393527441792]",0.02206519578024116,0.06266393527441792
HLA-DRB5,1.3633564224478776e-06,0.046309790065826084,2SIR,"[0.025339229262991925, 0.06728035086866024]",0.025339229262991925,0.06728035086866024
BCAM,1.6108701517241968e-46,0.1956152652907267,2SLS,"[0.16436358171329196, 0.22686694886816144]",0.16436358171329196,0.22686694886816144
BCAM,1.181360608484285e-48,0.2016854142087836,PT-2SLS,"[0.14721475636334702, 0.2561560720542202]",0.14721475636334702,0.2561560720542202
BCAM,1.410552270605901e-34,0.18153109958481273,2SIR,"[0.059614344789920906, 0.30344785437970456]",0.059614344789920906,0.30344785437970456
BIN1,3.1510881955885285e-08,0.06864104676296562,2SLS,"[0.0438256793863354, 0.09345641413959584]",0.0438256793863354,0.09345641413959584
BIN1,2.1323244945565355e-08,0.0674120317293144,PT-2SLS,"[0.03868181664467034, 0.09614224681395846]",0.03868181664467034,0.09614224681395846
BIN1,5.351304998353782e-09,0.06727560308274222,2SIR,"[0.03153824250942544, 0.103012963656059]",0.03153824250942544,0.103012963656059
APOC1P1,5.461070473510912e-09,0.07767696828433472,2SLS,"[0.05086176588158378, 0.10449217068708566]",0.05086176588158378,0.10449217068708566
APOC1P1,2.057578551562582e-08,0.07272818435732943,PT-2SLS,"[0.04135994135611168, 0.10409642735854718]",0.04135994135611168,0.10409642735854718
APOC1P1,6.114126692303469e-19,0.10956831441202655,2SIR,"[0.060224752879897606, 0.1589118759441555]",0.060224752879897606,0.1589118759441555
TOMM40,0.4249122451171465,0.01250037729609653,2SLS,"[-0.01821791425665851, 0.04321866884885157]",-0.01821791425665851,0.04321866884885157
TOMM40,0.4196397391877442,0.012643346452120409,PT-2SLS,"[-0.018241292310642143, 0.04352798521488296]",-0.018241292310642143,0.04352798521488296
TOMM40,1.8035436305773738e-10,0.07672703507477432,2SIR,"[0.03190723643944815, 0.1215468337101005]",0.03190723643944815,0.1215468337101005
CYP27C1,2.1866839918488184e-10,0.09125770158518981,2SLS,"[0.06225821666641902, 0.1202571865039606]",0.06225821666641902,0.1202571865039606
CYP27C1,2.016001037621445e-10,0.08951276781472847,PT-2SLS,"[0.05305282409060811, 0.12597271153884884]",0.05305282409060811,0.12597271153884884
CYP27C1,0.0007049515821993023,0.0500141911453671,2SIR,"[0.009953600712408618, 0.09007478157832557]",0.009953600712408618,0.09007478157832557
MTCH2,7.13508734281932e-07,0.08684529131689667,2SLS,"[0.05174187321451328, 0.12194870941928004]",0.05174187321451328,0.12194870941928004
MTCH2,7.378294368493391e-07,0.08692999166938407,PT-2SLS,"[0.04418187307324145, 0.1296781102655267]",0.04418187307324145,0.1296781102655267
MTCH2,3.5322848322187684e-06,0.07774729344286344,2SIR,"[0.004506083402901456, 0.15098850348282541]",0.004506083402901456,0.15098850348282541
MS4A4A,2.0471275652252145e-07,0.0601376765883411,2SLS,"[0.03603745659742062, 0.08423789657926158]",0.03603745659742062,0.08423789657926158
MS4A4A,2.0654219624439073e-07,0.060364612114662174,PT-2SLS,"[0.03361515516742039, 0.08711406906190396]",0.03361515516742039,0.08711406906190396
MS4A4A,3.784651600843777e-07,0.05692932469036264,2SIR,"[0.020772697312088015, 0.09308595206863726]",0.020772697312088015,0.09308595206863726
APOC1,3.681239218389695e-39,0.1493762324236042,2SLS,"[0.12394010339412428, 0.17481236145308413]",0.12394010339412428,0.17481236145308413
APOC1,2.3695256884690953e-24,0.11848765538482445,PT-2SLS,"[0.0825100941990342, 0.15446521657061468]",0.0825100941990342,0.15446521657061468
APOC1,3.5522460028949253e-14,0.0882052536837931,2SIR,"[0.03811419435631112, 0.1382963130112751]",0.03811419435631112,0.1382963130112751
NKPD1,0.14356988640198057,0.01861342988718446,2SLS,"[-0.006359796581285788, 0.0435866563556547]",-0.006359796581285788,0.0435866563556547
NKPD1,0.031354857845655906,0.027407396236849752,PT-2SLS,"[0.0015612861392571148, 0.05325350633444239]",0.0015612861392571148,0.05325350633444239
NKPD1,1.3801497451651941e-06,0.05901483584001204,2SIR,"[0.024732174997808054, 0.09329749668221603]",0.024732174997808054,0.09329749668221603
MS4A6A,4.692691194397547e-10,0.05976352492036816,2SLS,"[0.04050394895114554, 0.07902310088959077]",0.04050394895114554,0.07902310088959077
MS4A6A,3.2410743429830515e-10,0.0601032984871599,PT-2SLS,"[0.03784941226217674, 0.08235718471214307]",0.03784941226217674,0.08235718471214307
MS4A6A,2.369679728033946e-10,0.05801111610291801,2SIR,"[0.020585815996511866, 0.09543641620932415]",0.020585815996511866,0.09543641620932415
