gene,p-value,beta,method,CI,Lower,Upper
APOC1,3.681239218389695e-39,0.1493762324236042,2SLS,"[0.08867541001854976, 0.21007705482865865]",0.08867541001854976,0.21007705482865865
APOC1,2.3695256884690953e-24,0.11848765538482445,PT-2SLS,"[0.03263074101021268, 0.2043445697594362]",0.03263074101021268,0.2043445697594362
APOC1,3.5522460028949253e-14,0.0882052536837931,2SIR,"[0.01237617618051895, 0.16403433118706726]",0.01237617618051895,0.16403433118706726
APOC1P1,5.461070473510912e-09,0.07767696828433472,2SLS,"[0.013685122790922585, 0.14166881377774687]",0.013685122790922585,0.14166881377774687
APOC1P1,2.057578551562582e-08,0.07272818435732943,PT-2SLS,"[-0.0021290451121674936, 0.14758541382682636]",-0.0021290451121674936,0.14758541382682636
APOC1P1,6.114126692303469e-19,0.10956831441202655,2SIR,"[0.03049383193106152, 0.18864279689299157]",0.03049383193106152,0.18864279689299157
APOE,9.208362379589872e-40,0.19486252292389689,2SLS,"[0.11672625687236404, 0.27299878897542973]",0.11672625687236404,0.27299878897542973
APOE,2.192506151540651e-39,0.1929720495429307,PT-2SLS,"[0.05705753653995671, 0.3288865625459047]",0.05705753653995671,0.3288865625459047
APOE,2.450387412767477e-31,0.1678573111540977,2SIR,"[0.007976913837196897, 0.3277377084709985]",0.007976913837196897,0.3277377084709985
BCAM,1.6108701517241968e-46,0.1956152652907267,2SLS,"[0.12103619343218099, 0.27019433714927243]",0.12103619343218099,0.27019433714927243
BCAM,1.181360608484285e-48,0.2016854142087836,PT-2SLS,"[0.07169654191102676, 0.33167428650654046]",0.07169654191102676,0.33167428650654046
BCAM,1.410552270605901e-34,0.18153109958481273,2SIR,"[0.0, 0.3875718984634547]",0.0,0.3875718984634547
BCL3,0.1248857197618132,0.024276493564502566,2SLS,"[-0.049983212606237476, 0.09853619973524261]",-0.049983212606237476,0.09853619973524261
BCL3,0.12847265920083115,0.023982741930971274,PT-2SLS,"[-0.05130468871317112, 0.09927017257511367]",-0.05130468871317112,0.09927017257511367
BCL3,4.693945710459287e-10,0.08411925887544462,2SIR,"[0.004629127894184404, 0.16360938985670484]",0.004629127894184404,0.16360938985670484
BIN1,3.1510881955885285e-08,0.06864104676296562,2SLS,"[0.009421611042253995, 0.12786048248367723]",0.009421611042253995,0.12786048248367723
BIN1,2.1323244945565355e-08,0.0674120317293144,PT-2SLS,"[-0.001149803347508721, 0.13597386680613752]",-0.001149803347508721,0.13597386680613752
BIN1,5.351304998353782e-09,0.06727560308274222,2SIR,"[0.009915346556334519, 0.12463585960914991]",0.009915346556334519,0.12463585960914991
CBLC,9.877114411651059e-06,0.0695651853200398,2SLS,"[-0.005088647548171399, 0.144219018188251]",-0.005088647548171399,0.144219018188251
CBLC,0.01554374693534165,0.038725497505755324,PT-2SLS,"[-0.04013660937547095, 0.1175876043869816]",-0.04013660937547095,0.1175876043869816
CBLC,9.262697240180033e-29,0.16197874024359932,2SIR,"[0.0, 0.3272748018484967]",0.0,0.3272748018484967
CEACAM19,0.12343440907194464,0.022519808037760727,2SLS,"[-0.04596865133288615, 0.0910082674084076]",-0.04596865133288615,0.0910082674084076
CEACAM19,0.1207064950120116,0.02280351073609775,PT-2SLS,"[-0.04759504775223605, 0.09320206922443156]",-0.04759504775223605,0.09320206922443156
CEACAM19,0.0007820466570302519,0.04976291781758647,2SIR,"[0.0, 0.11730311993435008]",0.0,0.11730311993435008
CHRNA2,0.0006027035398001482,0.04360154885852237,2SLS,"[-0.01635285125875484, 0.10355594897579957]",-0.01635285125875484,0.10355594897579957
CHRNA2,0.0005646502651432771,0.045384998986215855,PT-2SLS,"[-0.022067909508581868, 0.11283790748101358]",-0.022067909508581868,0.11283790748101358
CHRNA2,1.4433523383022221e-06,0.07403875841509186,2SIR,"[0.0, 0.21159201245294879]",0.0,0.21159201245294879
CLPTM1,3.81014479410838e-06,0.0549758861636555,2SLS,"[-0.0017717992479441835, 0.11172357157525518]",-0.0017717992479441835,0.11172357157525518
CLPTM1,8.480714223287893e-06,0.05297357336823506,PT-2SLS,"[-0.010282570279367131, 0.11622971701583726]",-0.010282570279367131,0.11622971701583726
CLPTM1,0.0004585241773682484,0.041741907237196445,2SIR,"[0.0, 0.09087292173829753]",0.0,0.09087292173829753
CYP27C1,2.1866839918488184e-10,0.09125770158518981,2SLS,"[0.022053280509474277, 0.16046212266090534]",0.022053280509474277,0.16046212266090534
CYP27C1,2.016001037621445e-10,0.08951276781472847,PT-2SLS,"[0.002504694914519559, 0.1765208407149374]",0.002504694914519559,0.1765208407149374
CYP27C1,0.0007049515821993023,0.0500141911453671,2SIR,"[0.0, 0.11176310401697992]",0.0,0.11176310401697992
HLA-DRB5,2.6921418873258658e-05,0.03834229966872615,2SLS,"[-0.010602180795015799, 0.0872867801324681]",-0.010602180795015799,0.0872867801324681
HLA-DRB5,3.867934076344198e-06,0.04236456552732954,PT-2SLS,"[-0.006077885622547359, 0.09080701667720645]",-0.006077885622547359,0.09080701667720645
HLA-DRB5,1.3633564224478776e-06,0.046309790065826084,2SIR,"[0.004626990632673425, 0.08799258949897874]",0.004626990632673425,0.08799258949897874
MS4A4A,2.0471275652252145e-07,0.0601376765883411,2SLS,"[0.002624869828470773, 0.11765048334821143]",0.002624869828470773,0.11765048334821143
MS4A4A,2.0654219624439073e-07,0.060364612114662174,PT-2SLS,"[-0.0034703383097645854, 0.12419956253908893]",-0.0034703383097645854,0.12419956253908893
MS4A4A,3.784651600843777e-07,0.05692932469036264,2SIR,"[0.004184813491195108, 0.10967383588953017]",0.004184813491195108,0.10967383588953017
MS4A6A,4.692691194397547e-10,0.05976352492036816,2SLS,"[0.013802439444291693, 0.10572461039644462]",0.013802439444291693,0.10572461039644462
MS4A6A,3.2410743429830515e-10,0.0601032984871599,PT-2SLS,"[0.006996585826620695, 0.1132100111476991]",0.006996585826620695,0.1132100111476991
MS4A6A,2.369679728033946e-10,0.05801111610291801,2SIR,"[0.0014654028977121036, 0.11455682930812391]",0.0014654028977121036,0.11455682930812391
MTCH2,7.13508734281932e-07,0.08684529131689667,2SLS,"[0.0030744335117019878, 0.17061614912209133]",0.0030744335117019878,0.17061614912209133
MTCH2,7.378294368493391e-07,0.08692999166938407,PT-2SLS,"[-0.015084192644875719, 0.18894417598364388]",-0.015084192644875719,0.18894417598364388
MTCH2,3.5322848322187684e-06,0.07774729344286344,2SIR,"[0.0, 0.35719736096165344]",0.0,0.35719736096165344
