hgnc_id	symbol	name	locus_group	locus_type	status	location	location_sortable	alias_symbol	alias_name	prev_symbol	prev_name	gene_group	gene_group_id	date_approved_reserved	date_symbol_changed	date_name_changed	date_modified	entrez_id	ensembl_gene_id	vega_id	ucsc_id	ena	refseq_accession	ccds_id	uniprot_ids	pubmed_id	mgd_id	rgd_id	lsdb	cosmic	omim_id	mirbase	homeodb	snornabase	bioparadigms_slc	orphanet	pseudogene.org	horde_id	merops	imgt	iuphar	kznf_gene_catalog	mamit-trnadb	cd	lncrnadb	enzyme_id	intermediate_filament_db	rna_central_ids	lncipedia	gtrnadb	agr	mane_select	gencc
HGNC:30005	A3GALT2	alpha 1,3-galactosyltransferase 2	protein-coding gene	gene with protein product	Approved	1p35.1	01p35.1	"IGBS3S|IGB3S"	"iGb3 synthase|isoglobotriaosylceramide synthase"	A3GALT2P	alpha 1,3-galactosyltransferase 2, pseudogene	Glycosyltransferase family 6	429	2005-05-06	2013-03-11	2013-03-11	2018-02-08	127550	ENSG00000184389	OTTHUMG00000004125	uc031plq.1		NM_001080438	CCDS60080	U3KPV4	"10854427|18630988"	MGI:2685279	RGD:727913																							HGNC:30005	"ENST00000442999.3|NM_001080438.1"	
HGNC:32037	AADACL3	arylacetamide deacetylase like 3	protein-coding gene	gene with protein product	Approved	1p36.21	01p36.21	OTTHUMG00000001887				Arylacetamide deacetylase family	465	2006-06-30		2016-05-26	2018-05-03	126767	ENSG00000188984	OTTHUMG00000001887	uc057ckc.1		NM_001103170	CCDS41253	Q5VUY0		MGI:2685281	RGD:1563257																							HGNC:32037	"ENST00000359318.8|NM_001103170.3"	
HGNC:32038	AADACL4	arylacetamide deacetylase like 4	protein-coding gene	gene with protein product	Approved	1p36.21	01p36.21	OTTHUMG00000001889				Arylacetamide deacetylase family	465	2006-06-30		2016-05-26	2018-04-17	343066	ENSG00000204518	OTTHUMG00000001889	uc001auf.3		NM_001013630	CCDS30590	Q5VUY2		"MGI:2685282|MGI:2685284|MGI:2685880|MGI:3650257|MGI:3650721|MGI:3652194"	RGD:1565761																							HGNC:32038	"ENST00000376221.2|NM_001013630.2"	
HGNC:34	ABCA4	ATP binding cassette subfamily A member 4	protein-coding gene	gene with protein product	Approved	1p22.1	01p22.1	"FFM|ARMD2|CORD3"	Stargardt disease	"STGD1|ABCR|RP19|STGD"	"ATP-binding cassette transporter, retinal-specific|ATP-binding cassette, sub-family A (ABC1), member 4"	ATP binding cassette subfamily A	805	1994-07-14		2015-11-13	2021-05-26	24	ENSG00000198691	OTTHUMG00000010622	uc001dqh.4	U88667	NM_000350	CCDS747	P78363	9490294	MGI:109424	RGD:1309445	Mutations of the ATP-binding Cassette Transporter Retina|http://www.retina-international.org/files/sci-news/abcrmut.htm		601691					117623					objectId:759										HGNC:34	"ENST00000370225.4|NM_000350.3"	HGNC:34
HGNC:41	ABCB10	ATP binding cassette subfamily B member 10	protein-coding gene	gene with protein product	Approved	1q42.13	01q42.13	"EST20237|M-ABC2|MTABC2"	"ATP-binding cassette sub-family B member 10, mitochondrial|ATP-binding cassette transporter 10|ABC transporter 10 protein|mitochondrial ATP-binding cassette 2"		ATP-binding cassette, sub-family B (MDR/TAP), member 10	ATP binding cassette subfamily B	806	1999-10-26		2015-11-13	2020-09-17	23456	ENSG00000135776	OTTHUMG00000039471	uc001htp.4	U18237	NM_012089	CCDS1580	Q9NRK6	7766993	MGI:1860508	RGD:1311222			605454										objectId:777										HGNC:41	"ENST00000344517.5|NM_012089.3"	
HGNC:67	ABCD3	ATP binding cassette subfamily D member 3	protein-coding gene	gene with protein product	Approved	1p21.3	01p21.3	"PMP70|ZWS2"	peroxisomal membrane protein 70 kDa	PXMP1	"ATP-binding cassette, sub-family D (ALD), member 3|peroxisomal membrane protein 1 (70kD, Zellweger syndrome)"	"ATP binding cassette subfamily D|GOLD domain containing"	"808|1062"	1992-03-03		2015-11-13	2021-05-26	5825	ENSG00000117528	OTTHUMG00000010717	uc001dqn.5	M81182	NM_002858	"CCDS44175|CCDS749"	P28288	"1301993|8449508"	MGI:1349216	RGD:2007			170995					469898					objectId:790										HGNC:67	"ENST00000370214.9|NM_002858.4"	HGNC:67
HGNC:77	ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	protein-coding gene	gene with protein product	Approved	1q25.2	01q25.2	ARG	Abelson-related gene	ABLL	"v-abl Abelson murine leukemia viral oncogene homolog 2 (arg, Abelson-related gene)|v-abl Abelson murine leukemia viral oncogene homolog 2|c-abl oncogene 2, non-receptor tyrosine kinase"	"SH2 domain containing|Abl family tyrosine kinases"	"741|1463"	1986-01-01		2014-06-26	2020-09-17	27	ENSG00000143322	OTTHUMG00000035199	uc001gmj.5	M14904	NM_005158	"CCDS44282|CCDS44283|CCDS30947|CCDS53437|CCDS53438|CCDS41441|CCDS53435|CCDS53436"	P42684	3787260	MGI:87860	RGD:1590898		ABL2	164690										objectId:1924										HGNC:77	"ENST00000502732.6|NM_007314.4"	
HGNC:89	ACADM	acyl-CoA dehydrogenase medium chain	protein-coding gene	gene with protein product	Approved	1p31.1	01p31.1	"MCAD|MCADH|ACAD1"	medium-chain acyl-CoA dehydrogenase		acyl-Coenzyme A dehydrogenase, C-4 to C-12 straight chain	Acyl-CoA dehydrogenase family	974	1986-01-01		2017-09-21	2021-05-26	34	ENSG00000117054	OTTHUMG00000009784	uc001dgw.6	M16827	NM_000016	"CCDS668|CCDS72807|CCDS44165|CCDS65562"	P11310	3035565	MGI:87867	RGD:2012	LRG_838|http://ftp.ebi.ac.uk/pub/databases/lrgex/LRG_838.xml		607008					117700										1.3.8.7					HGNC:89	"ENST00000370841.9|NM_000016.6"	HGNC:89
HGNC:16754	ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3	protein-coding gene	gene with protein product	Approved	1p36.33	01p36.33	KIAA1716		CENTB5	centaurin, beta 5	"ArfGAPs|Ankyrin repeat domain containing|BAR-PH domain containing|MicroRNA protein coding host genes"	"395|403|1291|1691"	2001-10-29	2008-09-22	2008-09-22	2019-03-21	116983	ENSG00000131584	OTTHUMG00000002235	uc001aeb.3	AF411981	NM_030649	CCDS19	Q96P50	"27330119|28919417"	MGI:2153589	RGD:1310711																							HGNC:16754	"ENST00000354700.10|NM_030649.3"	
HGNC:15453	ACBD3	acyl-CoA binding domain containing 3	protein-coding gene	gene with protein product	Approved	1q42.12	01q42.12	"GCP60|PAP7"	PBR- and PKA-associated protein 7	"GOLPH1|GOCAP1"	"golgi complex associated protein 1, 60kDa|acyl-Coenzyme A binding domain containing 3"	A-kinase anchoring proteins	396	2001-04-27	2003-11-12	2010-04-30	2016-10-05	64746	ENSG00000182827	OTTHUMG00000037560	uc001hpy.4	AB043587	NM_022735	CCDS1551	Q9H3P7	"12692076|20150326"	MGI:2181074	RGD:727851			606809																				HGNC:15453	"ENST00000366812.6|NM_022735.4"	
